Empresa,Descrição,Produto,Valor Estimado (R$)
Logitech,"Líder em periféricos e acessórios de informática.",Mouse Sem Fio MX Master 3S,850.00
Logitech,"Líder em periféricos e acessórios de informática.",Teclado Mecânico Pop Keys,600.00
Logitech,"Líder em periféricos e acessórios de informática.",Webcam Brio 4K Ultra HD,1300.00
Apple,"Gigante de eletrônicos de consumo e software.",iPhone 15 Pro Max (256GB),9500.00
Apple,"Gigante de eletrônicos de consumo e software.",MacBook Air M3 (13 polegadas),12500.00
Apple,"Gigante de eletrônicos de consumo e software.",AirPods Pro (2ª geração),2200.00
Microsoft,"Líder em software corporativo e computação em nuvem.",Console Xbox Series X,4300.00
Microsoft,"Líder em software corporativo e computação em nuvem.",Assinatura Microsoft 365 Family,450.00
Sony,"Conglomerado de eletrônicos e entretenimento digital.",Console PlayStation 5 Slim,3800.00
Sony,"Conglomerado de eletrônicos e entretenimento digital.",Fone Bluetooth WH-1000XM5,2100.00
Samsung,"Líder global em displays e dispositivos móveis.",Smartphone Galaxy S24 Ultra,7500.00
Samsung,"Líder global em displays e dispositivos móveis.",Smart TV 55 Neo QLED 4K,4200.00
Samsung,"Líder global em displays e dispositivos móveis.",Monitor Gamer Odyssey G32 (27),1400.00
NVIDIA,"Líder em computação de IA e chips gráficos.",Placa de Vídeo RTX 4070 Super,4500.00
NVIDIA,"Líder em computação de IA e chips gráficos.",Placa de Vídeo RTX 4090,13000.00
Asus,"Fabricante global de hardware e notebooks gamer.",Notebook Gamer ROG Strix G16,10500.00
Asus,"Fabricante global de hardware e notebooks gamer.",Placa-Mãe TUF Gaming B550M,950.00
Dell,"Líder em computadores pessoais e servidores.",Notebook Inspiron 15,3200.00
Dell,"Líder em computadores pessoais e servidores.",Monitor Office 24 SE2422H,800.00
Intel,"Maior fabricante de processadores de PC.",Processador Core i7-14700K,2800.00
Intel,"Maior fabricante de processadores de PC.",Processador Core i5-13400,1400.00
Lenovo,"Maior fabricante de PCs do mundo.",Notebook ThinkPad E14,4800.00
Lenovo,"Maior fabricante de PCs do mundo.",Tablet Tab P12,2200.00
Xiaomi,"Desenvolvedora de smartphones e ecossistema inteligente.",Smartphone Redmi Note 13 Pro,1900.00
Xiaomi,"Desenvolvedora de smartphones e ecossistema inteligente.",Pulseira Inteligente Smart Band 8,250.00
Acer,"Fabricante taiwanesa de hardware e notebooks.",Notebook Gamer Nitro V15,4300.00
Acer,"Fabricante taiwanesa de hardware e notebooks.",Monitor Gamer Nitro 23.8,850.00
HP,"Líder em impressoras e computadores de escritório.",Impressora Multifuncional Smart Tank,1100.00
HP,"Líder em impressoras e computadores de escritório.",Notebook HP 256 G9,2600.00
LG,"Líder em eletrônicos de consumo e painéis OLED.",Monitor Gamer UltraGear 27,1500.00
LG,"Líder em eletrônicos de consumo e painéis OLED.",Smart TV 55 OLED Evo B3,5600.00
JBL,"Especialista em áudio residencial e portátil.",Caixa de Som Bluetooth Flip 6,650.00
JBL,"Especialista em áudio residencial e portátil.",Fone de Ouvido Wave Flex,320.00
Corsair,"Fabricante de hardware de alta performance e periféricos.",Memória RAM Vengeance LPX 16GB,350.00
Corsair,"Fabricante de hardware de alta performance e periféricos.",Fonte ATX Corsair CV550 550W,380.00
Kingston,"Líder em módulos de memória e armazenamento SSD.",SSD NVMe Kingston NV2 1TB,400.00
Razer,"Marca global de estilo de vida para gamers.",Mouse Gamer DeathAdder V3,550.00
Razer,"Marca global de estilo de vida para gamers.",Teclado Mecânico BlackWidow V4,1100.00
AMD,"Desenvolvedora de processadores e chips gráficos.",Processador Ryzen 7 7800X3D,2600.00
AMD,"Desenvolvedora de processadores e chips gráficos.",Placa de Vídeo Radeon RX 7600,1800.00
GoPro,"Fabricante de câmeras de ação e acessórios.",Câmera de Ação Hero 12 Black,2700.00
Nintendo,"Gigante dos videogames e jogos exclusivos.",Console Nintendo Switch OLED,2100.00
Nintendo,"Gigante dos videogames e jogos exclusivos.",Controle Pro Controller Switch,400.00
Seagate,"Fornecedora de soluções de armazenamento de dados.",HD Externo Portátil 2TB Expansion,480.00
HyperX,"Marca de periféricos focada em eSports.",Headset Gamer Cloud Alpha,500.00
TP-Link,"Provedora global de dispositivos de rede e Wi-Fi.",Roteador Wi-Fi 6 Archer AX12,320.00
TP-Link,"Provedora global de dispositivos de rede e Wi-Fi.",Sistema Wi-Fi Mesh Deco M4 (2 un),550.00
Amazon,"Gigante de e-commerce e dispositivos domésticos.",Smart Speaker Echo Dot 5ª Geração,380.00
Amazon,"Gigante de e-commerce e dispositivos domésticos.",Dispositivo de Streaming Fire TV Stick,2900.00
Google,"Líder em serviços online e hardware inteligente.",Chromecast com Google TV 4K,400.00
Google,"Líder em serviços online e hardware inteligente.",Fone Bluetooth Pixel Buds Pro,1200.00
Western Digital,"Fabricante de discos rígidos e armazenamento em flash.",SSD Externo SanDisk Extreme 1TB,750.00
SteelSeries,"Fabricante dinamarquesa de periféricos gamer.",Teclado Gamer Apex 3,450.00
Huawei,"Multinacional de equipamentos de telecomunicação.",Relógio Inteligente Watch Fit 3,800.00
Crucial,"Marca global de memória e armazenamento em semicondutores.",Memória RAM DDR5 Crucial 16GB,420.00
Anker,"Líder em tecnologias de carregamento e acessórios.",Carregador de Parede Nano 30W,150.00
Anker,"Líder em tecnologias de carregamento e acessórios.",Bateria Portátil Power Bank 20000mAh,300.00
